sec,nsec,goal_id,N,q1_k0,q2_k0,q3_k0,q4_k0,q5_k0,q6_k0,qd1_k0,qd2_k0,qd3_k0,qd4_k0,qd5_k0,qd6_k0,qdd1_k0,qdd2_k0,qdd3_k0,qdd4_k0,qdd5_k0,qdd6_k0,dt_k0,q1_k1,q2_k1,q3_k1,q4_k1,q5_k1,q6_k1,qd1_k1,qd2_k1,qd3_k1,qd4_k1,qd5_k1,qd6_k1,qdd1_k1,qdd2_k1,qdd3_k1,qdd4_k1,qdd5_k1,qdd6_k1,dt_k1,q1_k2,q2_k2,q3_k2,q4_k2,q5_k2,q6_k2,qd1_k2,qd2_k2,qd3_k2,qd4_k2,qd5_k2,qd6_k2,qdd1_k2,qdd2_k2,qdd3_k2,qdd4_k2,qdd5_k2,qdd6_k2,dt_k2,q1_k3,q2_k3,q3_k3,q4_k3,q5_k3,q6_k3,qd1_k3,qd2_k3,qd3_k3,qd4_k3,qd5_k3,qd6_k3,qdd1_k3,qdd2_k3,qdd3_k3,qdd4_k3,qdd5_k3,qdd6_k3,dt_k3,q1_k4,q2_k4,q3_k4,q4_k4,q5_k4,q6_k4,qd1_k4,qd2_k4,qd3_k4,qd4_k4,qd5_k4,qd6_k4,qdd1_k4,qdd2_k4,qdd3_k4,qdd4_k4,qdd5_k4,qdd6_k4,dt_k4,q1_k5,q2_k5,q3_k5,q4_k5,q5_k5,q6_k5,qd1_k5,qd2_k5,qd3_k5,qd4_k5,qd5_k5,qd6_k5,qdd1_k5,qdd2_k5,qdd3_k5,qdd4_k5,qdd5_k5,qdd6_k5,dt_k5,q1_k6,q2_k6,q3_k6,q4_k6,q5_k6,q6_k6,qd1_k6,qd2_k6,qd3_k6,qd4_k6,qd5_k6,qd6_k6,qdd1_k6,qdd2_k6,qdd3_k6,qdd4_k6,qdd5_k6,qdd6_k6,dt_k6,q1_k7,q2_k7,q3_k7,q4_k7,q5_k7,q6_k7,qd1_k7,qd2_k7,qd3_k7,qd4_k7,qd5_k7,qd6_k7,qdd1_k7,qdd2_k7,qdd3_k7,qdd4_k7,qdd5_k7,qdd6_k7,dt_k7,q1_k8,q2_k8,q3_k8,q4_k8,q5_k8,q6_k8,qd1_k8,qd2_k8,qd3_k8,qd4_k8,qd5_k8,qd6_k8,qdd1_k8,qdd2_k8,qdd3_k8,qdd4_k8,qdd5_k8,qdd6_k8,dt_k8,q1_k9,q2_k9,q3_k9,q4_k9,q5_k9,q6_k9,qd1_k9,qd2_k9,qd3_k9,qd4_k9,qd5_k9,qd6_k9,qdd1_k9,qdd2_k9,qdd3_k9,qdd4_k9,qdd5_k9,qdd6_k9,dt_k9
1.77201e+09,1772005436075326391,0,10,-9.67669e-27,-1.5708,9.24564e-26,-1.5708,8.65075e-26,-4.80704e-26,9.36751e-16,-2.3,-1.1,-1.2,-1.2,0.5,-10,-10,0.25,6.28319,6.28319,6.28319,0.25,-1.40235e-14,-2.3,-1.1,-1.2,-1.2,0.5,0.25,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,8.69073e-311,6.28319,10,10,0.25,0,-3.15352e-178,0.25,1.57513e-15,-2.3,-1.1,-1.2,-1.2,0.5,6.95259e-310,0.25,8.69073e-311,8.53601e-307,8.69073e-311,6.95259e-310,0,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,5.14948e-310,0.25,-1.31839e-16,-2.3,-1.1,-1.2,-1.2,0.5,6.95259e-310,6.95259e-310,0.25,-1.1,-1.2,4.94066e-324,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,6.63412e-310,0.25,-6.245e-17,-2.3,-1.1,-1.2,-1.2,0.5,0,0.056579,1.95,0.25,1.061e-313,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,6.95259e-310,0.25,-1.59595e-16,-2.3,-1.1,-1.2,-1.2,0.5,0,-1.5708,0,-1.5708,0.25,0,5.14948e-310,6.63412e-310,-nan,5.14948e-310,6.95259e-310,-3.15352e-178,0.25,-2.42861e-16,-2.3,-1.1,-1.2,-1.2,0.5,0,0,-2.3,-1.1,-1.2,0.25,4.94066e-324,6.95259e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.63412e-310,0.25,1.31839e-16,-2.3,-1.1,-1.2,-1.2,0.5,-1.2,0.5,2.122e-314,6.36599e-314,1.061e-313,1.4854e-313,6.63412e-310,0,0,5.14948e-310,5.14948e-310,0,0.25,-7.63278e-17,-2.3,-1.1,-1.2,-1.2,0.5,0.25,1.9098e-313,2.3342e-313,19683,0,-2.3,0,0,0,0,0,5.14948e-310,0.25,4.09395e-16,-2.3,-1.1,-1.2,-1.2,0.5,-1.1,0.25,-6.28319,-6.28319,-6.28319,-6.28319,5.14948e-310,5.14948e-310,5.14948e-310,0,0,-3.15352e-178,0.25
1.77201e+09,1772005436323874762,0,10,-0.000101036,-1.64184,-0.0536597,-1.50049,-0.082992,0.095261,1.62901e-15,-2.3,-1.1,-1.2,-1.2,0.5,-10,-10,0.25,6.28319,6.28319,6.28319,0.25,-2.16732e-16,-2.3,-1.1,-1.2,-1.2,0.5,0.25,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,8.69073e-311,6.28319,10,10,0.25,5.14948e-310,-3.15352e-178,0.25,1.22515e-17,-2.3,-1.1,-1.2,-1.2,0.5,6.95259e-310,0.25,8.69073e-311,6.95259e-310,8.69073e-311,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,5.14948e-310,0.25,-1.6263e-18,-2.3,-1.1,-1.2,-1.2,0.5,6.95259e-310,6.95259e-310,0.25,-1.1,-1.2,4.94066e-324,5.14948e-310,5.14948e-310,0,6.95259e-310,6.95259e-310,6.63412e-310,0.25,-2.2443e-17,-2.3,-1.1,-1.2,-1.2,0.5,0,0.055194,1.76342,0.25,1.061e-313,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,6.95259e-310,0.25,-3.63208e-17,-2.3,-1.1,-1.2,-1.2,0.5,-0.000101036,-1.64184,-0.0536597,-1.50049,0.25,-0.082992,5.14948e-310,6.63412e-310,-nan,5.14948e-310,6.95259e-310,-3.15352e-178,0.25,-1.55041e-17,-2.3,-1.1,-1.2,-1.2,0.5,0.095261,0,-2.3,-1.1,-1.2,0.25,4.94066e-324,6.95259e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.63412e-310,0.25,-2.86121e-16,-2.3,-1.1,-1.2,-1.2,0.5,-1.2,0.5,2.122e-314,6.36599e-314,1.061e-313,1.4854e-313,6.63412e-310,0,0,5.14948e-310,5.14948e-310,0,0.25,8.16404e-17,-2.3,-1.1,-1.2,-1.2,0.5,0.25,1.9098e-313,2.3342e-313,19683,0,-2.3,0,0,0,0,0,5.14948e-310,0.25,6.08996e-16,-2.3,-1.1,-1.2,-1.2,0.5,-1.1,0.25,-6.28319,-6.28319,-6.28319,-6.28319,5.14948e-310,5.14948e-310,5.14948e-310,0,0,-3.15352e-178,0.25
1.77201e+09,1772005436575830187,0,10,-9.76157e-05,-1.92325,-0.308394,-1.34873,-0.443544,0.302884,1.67681e-15,-2.3,-1.1,-1.2,-1.2,0.5,-10,-10,0.25,6.28319,6.28319,6.28319,0.25,-2.32155e-17,-2.3,-1.1,-1.2,-1.2,0.5,0.25,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,8.69073e-311,6.28319,10,10,0.25,5.14948e-310,-3.15352e-178,0.25,1.1479e-17,-2.3,-1.1,-1.2,-1.2,0.5,6.95259e-310,0.25,8.69073e-311,6.95259e-310,8.69073e-311,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,5.14948e-310,0.25,4.61735e-17,-2.3,-1.1,-1.2,-1.2,0.5,6.95259e-310,6.95259e-310,0.25,-1.1,-1.2,4.94066e-324,5.14948e-310,5.14948e-310,0,6.95259e-310,6.95259e-310,6.63412e-310,0.25,1.22501e-16,-2.3,-1.1,-1.2,-1.2,0.5,0,0.057174,1.13538,0.25,1.061e-313,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,6.95259e-310,0.25,-2.38321e-16,-2.3,-1.1,-1.2,-1.2,0.5,-9.76157e-05,-1.92325,-0.308394,-1.34873,0.25,-0.443544,5.14948e-310,6.63412e-310,-nan,5.14948e-310,6.95259e-310,-3.15352e-178,0.25,-2.79955e-16,-2.3,-1.1,-1.2,-1.2,0.5,0.302884,0,-2.3,-1.1,-1.2,0.25,4.94066e-324,6.95259e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.63412e-310,0.25,-1.2036e-16,-2.3,-1.1,-1.2,-1.2,0.5,-1.2,0.5,2.122e-314,6.36599e-314,1.061e-313,1.4854e-313,6.63412e-310,0,0,5.14948e-310,5.14948e-310,0,0.25,-2.4526e-16,-2.3,-1.1,-1.2,-1.2,0.5,0.25,1.9098e-313,2.3342e-313,19683,0,-2.3,0,0,0,0,0,5.14948e-310,0.25,4.34752e-16,-2.3,-1.1,-1.2,-1.2,0.5,-1.1,0.25,-6.28319,-6.28319,-6.28319,-6.28319,5.14948e-310,5.14948e-310,5.14948e-310,0,0,-3.15352e-178,0.25
1.77201e+09,1772005436809777802,0,10,-5.12069e-05,-2.16887,-0.697466,-1.25054,-0.896999,0.438879,1.5372e-15,-2.3,-1.1,-1.2,-1.2,0.5,-10,-10,0.25,6.28319,6.28319,6.28319,0.25,-6.56891e-17,-2.3,-1.1,-1.2,-1.2,0.5,0.25,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,8.69073e-311,6.28319,10,10,0.25,5.14948e-310,-3.15352e-178,0.25,3.14554e-17,-2.3,-1.1,-1.2,-1.2,0.5,6.95259e-310,0.25,8.69073e-311,6.95259e-310,8.69073e-311,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,5.14948e-310,0.25,5.9211e-17,-2.3,-1.1,-1.2,-1.2,0.5,6.95259e-310,6.95259e-310,0.25,-1.1,-1.2,4.94066e-324,5.14948e-310,5.14948e-310,0,6.95259e-310,6.95259e-310,6.63412e-310,0.25,5.22721e-17,-2.3,-1.1,-1.2,-1.2,0.5,0,0.041073,0.474192,0.25,1.061e-313,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,6.95259e-310,0.25,-2.53039e-16,-2.3,-1.1,-1.2,-1.2,0.5,-5.12069e-05,-2.16887,-0.697466,-1.25054,0.25,-0.896999,5.14948e-310,6.63412e-310,-nan,5.14948e-310,6.95259e-310,-3.15352e-178,0.25,-1.62834e-16,-2.3,-1.1,-1.2,-1.2,0.5,0.438879,0,-2.3,-1.1,-1.2,0.25,4.94066e-324,6.95259e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.63412e-310,0.25,-2.66917e-16,-2.3,-1.1,-1.2,-1.2,0.5,-1.2,0.5,2.122e-314,6.36599e-314,1.061e-313,1.4854e-313,6.63412e-310,0,0,5.14948e-310,5.14948e-310,0,0.25,-1.42017e-16,-2.3,-1.1,-1.2,-1.2,0.5,0.25,1.9098e-313,2.3342e-313,19683,0,-2.3,0,0,0,0,0,5.14948e-310,0.25,3.29828e-16,-2.3,-1.1,-1.2,-1.2,0.5,-1.1,0.25,-6.28319,-6.28319,-6.28319,-6.28319,5.14948e-310,5.14948e-310,5.14948e-310,0,0,-3.15352e-178,0.25
1.77201e+09,1772005437082570938,0,10,-5.95958e-05,-2.27864,-0.987626,-1.21401,-1.16928,0.487601,1.61889e-15,-2.3,-1.1,-1.2,-1.2,0.5,-10,-10,0.25,6.28319,6.28319,6.28319,0.25,-4.18203e-15,-2.3,-1.1,-1.2,-1.2,0.5,0.25,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,8.69073e-311,6.28319,10,10,0.25,5.14948e-310,-3.15352e-178,0.25,-2.12978e-16,-2.3,-1.1,-1.2,-1.2,0.5,6.95259e-310,0.25,8.69073e-311,6.95259e-310,8.69073e-311,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,5.14948e-310,0.25,9.23334e-17,-2.3,-1.1,-1.2,-1.2,0.5,6.95259e-310,6.95259e-310,0.25,-1.1,-1.2,4.94066e-324,5.14948e-310,5.14948e-310,0,6.95259e-310,6.95259e-310,6.63412e-310,0.25,1.60055e-17,-2.3,-1.1,-1.2,-1.2,0.5,0,0.063876,0.0954607,0.25,1.061e-313,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,6.95259e-310,0.25,-1.71345e-16,-2.3,-1.1,-1.2,-1.2,0.5,-5.95958e-05,-2.27864,-0.987626,-1.21401,0.25,-1.16928,5.14948e-310,6.63412e-310,-nan,5.14948e-310,6.95259e-310,-3.15352e-178,0.25,-1.57467e-16,-2.3,-1.1,-1.2,-1.2,0.5,0.487601,0,-2.3,-1.1,-1.2,0.25,4.94066e-324,6.95259e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.63412e-310,0.25,-2.82367e-16,-2.3,-1.1,-1.2,-1.2,0.5,-1.2,0.5,2.122e-314,6.36599e-314,1.061e-313,1.4854e-313,6.63412e-310,0,0,5.14948e-310,5.14948e-310,0,0.25,-1.71345e-16,-2.3,-1.1,-1.2,-1.2,0.5,0.25,1.9098e-313,2.3342e-313,19683,0,-2.3,0,0,0,0,0,5.14948e-310,0.25,7.02956e-16,-2.3,-1.1,-1.2,-1.2,0.5,-1.1,0.25,-6.28319,-6.28319,-6.28319,-6.28319,5.14948e-310,5.14948e-310,5.14948e-310,0,0,-3.15352e-178,0.25
1.77201e+09,1772005437334280550,0,10,-4.57852e-05,-2.30798,-1.11482,-1.20221,-1.25108,0.500662,8.00914e-16,-2.3,-1.1,-1.2,-1.2,0.5,-10,-10,0.25,6.28319,6.28319,6.28319,0.25,-8.64421e-16,-2.3,-1.1,-1.2,-1.2,0.5,0.25,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,8.69073e-311,6.28319,10,10,0.25,5.14948e-310,-3.15352e-178,0.25,2.24986e-16,-2.3,-1.1,-1.2,-1.2,0.5,6.95259e-310,0.25,8.69073e-311,6.95259e-310,8.69073e-311,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,5.14948e-310,0.25,-5.25703e-17,-2.3,-1.1,-1.2,-1.2,0.5,6.95259e-310,6.95259e-310,0.25,-1.1,-1.2,4.94066e-324,5.14948e-310,5.14948e-310,0,6.95259e-310,6.95259e-310,6.63412e-310,0.25,-1.09369e-17,-2.3,-1.1,-1.2,-1.2,0.5,0,0.065647,0.0383969,0.25,1.061e-313,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,6.95259e-310,0.25,-2.95432e-16,-2.3,-1.1,-1.2,-1.2,0.5,-4.57852e-05,-2.30798,-1.11482,-1.20221,0.25,-1.25108,5.14948e-310,6.63412e-310,-nan,5.14948e-310,6.95259e-310,-3.15352e-178,0.25,-9.42036e-17,-2.3,-1.1,-1.2,-1.2,0.5,0.500662,0,-2.3,-1.1,-1.2,0.25,4.94066e-324,6.95259e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.63412e-310,0.25,6.53909e-17,-2.3,-1.1,-1.2,-1.2,0.5,-1.2,0.5,2.122e-314,6.36599e-314,1.061e-313,1.4854e-313,6.63412e-310,0,0,5.14948e-310,5.14948e-310,0,0.25,-1.63593e-16,-2.3,-1.1,-1.2,-1.2,0.5,0.25,1.9098e-313,2.3342e-313,19683,0,-2.3,0,0,0,0,0,5.14948e-310,0.25,1.20337e-15,-2.3,-1.1,-1.2,-1.2,0.5,-1.1,0.25,-6.28319,-6.28319,-6.28319,-6.28319,5.14948e-310,5.14948e-310,5.14948e-310,0,0,-3.15352e-178,0.25
1.77201e+09,1772005437584334513,1,10,-2.28102e-05,-2.30844,-1.13168,-1.19961,-1.24067,0.50212,2,-1.6,-1.7,-1.7,-1.7,1,-10,-10,0.25,6.28319,6.28319,6.28319,0.25,1.99999,-1.6,-1.7,-1.7,-1.7,1,0.25,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,8.69073e-311,6.28319,10,10,0.25,5.14948e-310,-3.15352e-178,0.25,2,-1.6,-1.7,-1.7,-1.7,1,6.95259e-310,0.25,8.69073e-311,6.95259e-310,8.69073e-311,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,5.14948e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,6.95259e-310,6.95259e-310,0.25,-1.7,-1.7,4.94066e-324,5.14948e-310,5.14948e-310,0,6.95259e-310,6.95259e-310,6.63412e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0,0.065666,2.36721,0.25,1.061e-313,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,6.95259e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,-2.28102e-05,-2.30844,-1.13168,-1.19961,0.25,-1.24067,5.14948e-310,6.63412e-310,-nan,5.14948e-310,6.95259e-310,-3.15352e-178,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0.50212,2,-1.6,-1.7,-1.7,0.25,4.94066e-324,6.95259e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.63412e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,-1.7,1,2.122e-314,6.36599e-314,1.061e-313,1.4854e-313,6.63412e-310,0,0,5.14948e-310,5.14948e-310,0,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0.25,1.9098e-313,2.3342e-313,19683,2,-1.6,0,0,0,0,0,5.14948e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,-1.7,0.25,-6.28319,-6.28319,-6.28319,-6.28319,5.14948e-310,5.14948e-310,5.14948e-310,0,0,-3.15352e-178,0.25
1.77201e+09,1772005437826788403,1,10,0.0637091,-2.24115,-1.18843,-1.2634,-1.28022,0.565756,2,-1.6,-1.7,-1.7,-1.7,1,-10,-10,0.25,6.28319,6.28319,6.28319,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0.25,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,8.69073e-311,6.28319,10,10,0.25,5.14948e-310,-3.15352e-178,0.25,2,-1.6,-1.7,-1.7,-1.7,1,6.95259e-310,0.25,8.69073e-311,6.95259e-310,8.69073e-311,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,5.14948e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,6.95259e-310,6.95259e-310,0.25,-1.7,-1.7,4.94066e-324,5.14948e-310,5.14948e-310,0,6.95259e-310,6.95259e-310,6.63412e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0,0.058161,2.18982,0.25,1.061e-313,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,6.95259e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0.0637091,-2.24115,-1.18843,-1.2634,0.25,-1.28022,5.14948e-310,6.63412e-310,-nan,5.14948e-310,6.95259e-310,-3.15352e-178,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0.565756,2,-1.6,-1.7,-1.7,0.25,4.94066e-324,6.95259e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.63412e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,-1.7,1,2.122e-314,6.36599e-314,1.061e-313,1.4854e-313,6.63412e-310,0,0,5.14948e-310,5.14948e-310,0,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0.25,1.9098e-313,2.3342e-313,19683,2,-1.6,0,0,0,0,0,5.14948e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,-1.7,0.25,-6.28319,-6.28319,-6.28319,-6.28319,5.14948e-310,5.14948e-310,5.14948e-310,0,0,-3.15352e-178,0.25
1.77201e+09,1772005438093171017,1,10,0.368578,-1.96764,-1.42003,-1.4723,-1.47548,0.77333,2,-1.6,-1.7,-1.7,-1.7,1,-10,-10,0.25,6.28319,6.28319,6.28319,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0.25,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,8.69073e-311,6.28319,10,10,0.25,5.14948e-310,-3.15352e-178,0.25,2,-1.6,-1.7,-1.7,-1.7,1,6.95259e-310,0.25,8.69073e-311,6.95259e-310,8.69073e-311,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,5.14948e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,6.95259e-310,6.95259e-310,0.25,-1.7,-1.7,4.94066e-324,5.14948e-310,5.14948e-310,0,6.95259e-310,6.95259e-310,6.63412e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0,0.074508,1.47896,0.25,1.061e-313,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,6.95259e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0.368578,-1.96764,-1.42003,-1.4723,0.25,-1.47548,5.14948e-310,6.63412e-310,-nan,5.14948e-310,6.95259e-310,-3.15352e-178,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0.77333,2,-1.6,-1.7,-1.7,0.25,4.94066e-324,6.95259e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.63412e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,-1.7,1,2.122e-314,6.36599e-314,1.061e-313,1.4854e-313,6.63412e-310,0,0,5.14948e-310,5.14948e-310,0,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0.25,1.9098e-313,2.3342e-313,19683,2,-1.6,0,0,0,0,0,5.14948e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,-1.7,0.25,-6.28319,-6.28319,-6.28319,-6.28319,5.14948e-310,5.14948e-310,5.14948e-310,0,0,-3.15352e-178,0.25
1.77201e+09,1772005438326864925,1,10,0.923908,-1.72175,-1.60911,-1.62813,-1.62623,0.929155,2,-1.6,-1.7,-1.7,-1.7,1,-10,-10,0.25,6.28319,6.28319,6.28319,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0.25,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,8.69073e-311,6.28319,10,10,0.25,5.14948e-310,-3.15352e-178,0.25,2,-1.6,-1.7,-1.7,-1.7,1,6.95259e-310,0.25,8.69073e-311,6.95259e-310,8.69073e-311,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,5.14948e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,6.95259e-310,6.95259e-310,0.25,-1.7,-1.7,4.94066e-324,5.14948e-310,5.14948e-310,0,6.95259e-310,6.95259e-310,6.63412e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0,0.058222,0.752607,0.25,1.061e-313,6.95259e-310,5.14948e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.95259e-310,6.95259e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0.923908,-1.72175,-1.60911,-1.62813,0.25,-1.62623,5.14948e-310,6.63412e-310,-nan,5.14948e-310,6.95259e-310,-3.15352e-178,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0.929155,2,-1.6,-1.7,-1.7,0.25,4.94066e-324,6.95259e-310,5.14948e-310,6.95259e-310,6.95259e-310,6.63412e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,-1.7,1,2.122e-314,6.36599e-314,1.061e-313,1.4854e-313,6.63412e-310,0,0,5.14948e-310,5.14948e-310,0,0.25,2,-1.6,-1.7,-1.7,-1.7,1,0.25,1.9098e-313,2.3342e-313,19683,2,-1.6,0,0,0,0,0,5.14948e-310,0.25,2,-1.6,-1.7,-1.7,-1.7,1,-1.7,0.25,-6.28319,-6.28319,-6.28319,-6.28319,5.14948e-310,5.14948e-310,5.14948e-310,0,0,-3.15352e-178,0.25
